"","all_bike","Ave_dd_sqmi_tnthmi","Ave_jobs_sqmi_tnthmi","Ave_pop_sqmi_tnthmi","res_sqft_tnthmi","comm_sqft_tnthmi","inst_sqft_tnthmi","off_sqft_tnthmi","ind_sqft_tnthmi","bik_vol_max","bik_vol_sum","bik_vol_maj","bik_vol_min","mv_vol_max","mv_vol_sum","mv_vol_maj","mv_vol_min","car_vol_max","car_vol_sum","car_vol_maj","car_vol_min","bus_vol_max","bus_vol_sum","bus_vol_maj","bus_vol_min","muni_vol_max","muni_vol_sum","muni_vol_maj","muni_vol_min","muni_stops_tnthmi","trk_vol_max","trk_vol_sum","trk_vol_maj","trk_vol_min","legs","lanes_max","lanes_sum","lanes_maj","lanes_min","slope_max","slope_min","slope_maj","signal_yn","sign_stop_yn","limited_stop_yn","pk_on_sum","pk_on_maj","pk_on_min","pk_off_sum","pk_off_maj","pk_off_min","bike_net_bin","bike_net_sum","bike_net_maj","bike_net_min","sep_bway_bin","sep_bway_sum","sep_bway_maj","sep_bway_min","buff_ln_bin","buff_ln_sum","buff_ln_maj","buff_ln_min","barr_conc_bin","barr_conc_sum","barr_conc_maj","barr_conc_min","barr_park_bin","barr_park_sum","barr_park_maj","barr_park_min","barr_shp_bin","barr_shp_sum","barr_shp_maj","barr_shp_min","green_pnt_bin","green_pnt_sum","green_pnt_maj","green_pnt_min","sharrow_bin","sharrow_sum","sharrow_maj","sharrow_min","contraflow_bin","contraflow_sum","contraflow_maj","contraflow_min","bike_box_bin","bike_sig_bin","crossbike_bin","int_shrow_bin","mix_zn_bin","fac_max_upd","fac_maj_upd","fac_min_upd","all_bike_log","bik_vol_sum_log"
"buff_ln_maj",0.08,-0.02,-0.01,-0.03,-0.06,0.04,-0.01,-0.01,0.02,0.15,0.15,0.16,NA,0.07,0.08,0.07,NA,0.07,0.08,0.07,NA,0.04,0.03,0.04,NA,0.06,0.05,0.06,NA,0.01,0.06,0.06,0.06,NA,0.01,0.17,0.14,0.17,NA,-0.06,NA,-0.05,0.06,NA,NA,0.04,0.02,NA,0,0,NA,0.19,0.18,0.21,NA,0.28,0.24,0.3,NA,0.91,0.89,1,NA,0.03,0.02,0.04,NA,0.12,0.12,0.12,NA,0.25,0.21,0.28,NA,0.14,0.13,0.15,NA,0.02,0.01,-0.01,NA,0.04,0.03,0,NA,0.05,0.02,0,0.04,0,0.14,0.15,NA,NA,NA
"buff_ln_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barr_conc_bin",0.04,0,0.02,-0.01,-0.03,0,0,0.03,0,0.1,0.11,0.06,NA,0,0.01,0,NA,0,0,0,NA,0.02,0.02,0,NA,0.02,0.02,0,NA,0.01,0.01,0.01,0.01,NA,0.01,0.04,0.03,0.03,NA,-0.02,NA,-0.03,0.04,NA,NA,0.01,0.01,NA,0.03,0.02,NA,0.06,0.06,0.05,NA,0.35,0.36,0.25,NA,0.03,0.01,0.03,NA,1,0.94,0.82,NA,0,0,0,NA,0.08,0.12,0.05,NA,0.29,0.33,0.16,NA,0.02,0.01,0.02,NA,0,0,0,NA,0.09,0.38,0,0.14,0,0.04,0.04,NA,NA,NA
"barr_conc_sum",0.03,0,0.03,-0.01,-0.03,0,0,0.04,0,0.08,0.09,0.05,NA,0,0.01,0,NA,0,0,0,NA,0.01,0.02,0,NA,0.01,0.02,0,NA,0,0.01,0.01,0.01,NA,0.01,0.04,0.03,0.03,NA,-0.02,NA,-0.02,0.04,NA,NA,0.01,0,NA,0.03,0.03,NA,0.05,0.05,0.05,NA,0.33,0.37,0.26,NA,0.02,0.01,0.02,NA,0.94,1,0.87,NA,0,0,0,NA,0.09,0.11,0.07,NA,0.27,0.32,0.18,NA,0.01,0.01,0.01,NA,0,0,0,NA,0.06,0.41,0,0.1,0,0.04,0.04,NA,NA,NA
"barr_conc_maj",0,0,0.01,-0.02,-0.03,0,0,0.02,0,0.04,0.04,0.05,NA,0,0,0,NA,-0.01,0,-0.01,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,-0.01,0.03,0.02,0.02,NA,-0.02,NA,-0.02,0.03,NA,NA,0,0,NA,0.02,0.02,NA,0.05,0.03,0.05,NA,0.28,0.29,0.31,NA,0.03,0.02,0.04,NA,0.82,0.87,1,NA,0,0,0,NA,0.05,0.04,0.06,NA,0.18,0.18,0.19,NA,0,0,0.01,NA,0,0,0,NA,0,0.24,0,0.09,0,0.03,0.04,NA,NA,NA
"barr_conc_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barr_park_bin",0,-0.02,-0.01,-0.03,-0.05,-0.02,0,-0.01,-0.01,0.14,0.15,0.16,NA,0.01,0.02,0.01,NA,0.01,0.02,0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,0,0.01,0,NA,0,0,0,0,NA,-0.02,NA,-0.03,-0.01,NA,NA,0.1,0.11,NA,-0.01,0,NA,0.06,0.07,0.07,NA,0.36,0.44,0.39,NA,0.11,0.1,0.12,NA,0,0,0,NA,1,0.98,1,NA,0,0,0,NA,0,0,0,NA,0.03,0.01,0.01,NA,0.14,0.11,0,NA,0,0,0,0,0,0.05,0.05,NA,NA,NA
"barr_park_sum",0,-0.02,-0.01,-0.03,-0.05,-0.02,0,-0.01,-0.01,0.14,0.15,0.16,NA,0.01,0.01,0.01,NA,0.01,0.02,0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,0,0,0,NA,0,0,0,0,NA,-0.02,NA,-0.03,-0.01,NA,NA,0.1,0.1,NA,-0.01,0,NA,0.06,0.07,0.06,NA,0.36,0.45,0.38,NA,0.11,0.1,0.12,NA,0,0,0,NA,0.98,1,0.98,NA,0,0,0,NA,0,0,0,NA,0.03,0.01,0.01,NA,0.15,0.12,0,NA,0,0,0,0,0,0.05,0.05,NA,NA,NA
"barr_park_maj",0,-0.02,-0.01,-0.03,-0.05,-0.02,0,-0.01,-0.01,0.14,0.15,0.16,NA,0.01,0.02,0.01,NA,0.01,0.02,0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,0,0.01,0,NA,0,0,0,0,NA,-0.02,NA,-0.03,-0.01,NA,NA,0.1,0.11,NA,-0.01,0,NA,0.06,0.07,0.07,NA,0.36,0.44,0.39,NA,0.11,0.1,0.12,NA,0,0,0,NA,1,0.98,1,NA,0,0,0,NA,0,0,0,NA,0.03,0.01,0.01,NA,0.14,0.11,0,NA,0,0,0,0,0,0.05,0.05,NA,NA,NA
"barr_park_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"barr_shp_bin",0.12,0,0.01,-0.03,-0.06,0.04,-0.01,0.02,0.02,0.2,0.17,0.18,NA,0.1,0.1,0.1,NA,0.1,0.1,0.1,NA,0.11,0.09,0.09,NA,0.1,0.08,0.08,NA,0.02,0.07,0.07,0.07,NA,0.01,0.13,0.11,0.13,NA,-0.03,NA,-0.03,0.09,NA,NA,-0.01,-0.02,NA,0.02,0.01,NA,0.14,0.14,0.15,NA,0.86,0.77,0.79,NA,0.28,0.26,0.25,NA,0.08,0.09,0.05,NA,0,0,0,NA,1,0.93,0.9,NA,0.41,0.42,0.34,NA,0.02,0.02,0.02,NA,0,0,0,NA,0.14,0.11,0,0.17,0,0.12,0.11,NA,NA,NA
"barr_shp_sum",0.13,0.01,0.01,-0.03,-0.06,0.03,-0.01,0.02,0.02,0.22,0.2,0.18,NA,0.08,0.08,0.08,NA,0.08,0.08,0.08,NA,0.11,0.1,0.08,NA,0.09,0.08,0.07,NA,0.01,0.07,0.07,0.07,NA,0.01,0.12,0.1,0.12,NA,-0.03,NA,-0.03,0.09,NA,NA,-0.01,-0.01,NA,0.03,0.02,NA,0.13,0.14,0.14,NA,0.81,0.83,0.73,NA,0.24,0.23,0.21,NA,0.12,0.11,0.04,NA,0,0,0,NA,0.93,1,0.83,NA,0.47,0.53,0.36,NA,0.03,0.02,0.02,NA,0,0,0,NA,0.23,0.16,0,0.2,0,0.11,0.11,NA,NA,NA
"barr_shp_maj",0.09,0,0,-0.02,-0.05,0.05,-0.01,0,0.02,0.17,0.14,0.19,NA,0.08,0.08,0.08,NA,0.09,0.09,0.09,NA,0.09,0.07,0.09,NA,0.07,0.06,0.08,NA,0.01,0.06,0.06,0.06,NA,0,0.12,0.09,0.12,NA,-0.03,NA,-0.03,0.07,NA,NA,-0.02,-0.01,NA,0.01,0.02,NA,0.13,0.12,0.15,NA,0.81,0.71,0.87,NA,0.26,0.25,0.28,NA,0.05,0.07,0.06,NA,0,0,0,NA,0.9,0.83,1,NA,0.37,0.37,0.38,NA,0.01,0.01,0.01,NA,0,0,0,NA,0.08,0.08,0,0.09,0,0.1,0.11,NA,NA,NA
"barr_shp_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"green_pnt_bin",0.2,0.04,0.04,-0.01,-0.06,0,-0.01,0.04,0.04,0.37,0.34,0.37,NA,0.09,0.11,0.09,NA,0.08,0.1,0.08,NA,0.11,0.09,0.09,NA,0.08,0.07,0.06,NA,0.02,0.11,0.12,0.11,NA,0.03,0.11,0.11,0.11,NA,-0.04,NA,-0.04,0.13,NA,NA,0.04,0.04,NA,0.05,0.03,NA,0.13,0.14,0.13,NA,0.43,0.46,0.36,NA,0.14,0.11,0.14,NA,0.29,0.27,0.18,NA,0,0,0,NA,0.41,0.47,0.37,NA,1,0.94,0.91,NA,0.03,0.02,0,NA,0,0,0,NA,0.24,0.21,0,0.19,0,0.11,0.1,NA,NA,NA
"green_pnt_sum",0.21,0.04,0.04,-0.01,-0.06,0,-0.01,0.05,0.04,0.35,0.33,0.33,NA,0.08,0.1,0.08,NA,0.07,0.09,0.07,NA,0.1,0.09,0.07,NA,0.07,0.07,0.05,NA,0.01,0.1,0.11,0.1,NA,0.03,0.11,0.12,0.11,NA,-0.04,NA,-0.04,0.13,NA,NA,0.03,0.03,NA,0.05,0.03,NA,0.12,0.13,0.12,NA,0.44,0.51,0.35,NA,0.12,0.11,0.13,NA,0.33,0.32,0.18,NA,0,0,0,NA,0.42,0.53,0.37,NA,0.94,1,0.85,NA,0.03,0.01,0,NA,0,0,0,NA,0.27,0.28,0,0.23,0,0.1,0.09,NA,NA,NA
"green_pnt_maj",0.17,0.04,0.03,-0.01,-0.05,0.01,-0.01,0.03,0.05,0.35,0.3,0.39,NA,0.09,0.1,0.09,NA,0.08,0.09,0.08,NA,0.09,0.07,0.09,NA,0.05,0.04,0.06,NA,0.01,0.11,0.12,0.11,NA,0.02,0.1,0.1,0.1,NA,-0.04,NA,-0.04,0.13,NA,NA,0.03,0.04,NA,0.04,0.03,NA,0.12,0.12,0.13,NA,0.34,0.35,0.37,NA,0.15,0.12,0.15,NA,0.16,0.18,0.19,NA,0,0,0,NA,0.34,0.36,0.38,NA,0.91,0.85,1,NA,0.02,0.01,-0.01,NA,0,0,0,NA,0.17,0.13,0,0.14,0,0.09,0.1,NA,NA,NA
"green_pnt_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sharrow_bin",0.13,0.06,0.08,0.04,-0.01,0.07,-0.05,0.06,0.05,0.13,0.14,0.1,NA,0.09,0.12,0.08,NA,0.08,0.11,0.08,NA,0.18,0.19,0.17,NA,0.25,0.26,0.23,NA,0.15,0.09,0.12,0.09,NA,0.18,0.12,0.18,0.11,NA,-0.08,NA,-0.1,0.19,NA,NA,0.1,0.07,NA,0.04,0.02,NA,0.66,0.66,0.57,NA,0.03,0.03,0.03,NA,0.03,0.01,0.02,NA,0.02,0.01,0,NA,0.03,0.03,0.03,NA,0.02,0.03,0.01,NA,0.03,0.03,0.02,NA,1,0.96,0.84,NA,0.02,0.01,-0.01,NA,0.03,0.02,0,0.01,-0.01,0.75,0.65,NA,NA,NA
"sharrow_sum",0.11,0.06,0.07,0.04,0,0.07,-0.04,0.06,0.05,0.1,0.12,0.08,NA,0.07,0.11,0.07,NA,0.07,0.1,0.07,NA,0.16,0.17,0.15,NA,0.23,0.24,0.21,NA,0.15,0.08,0.11,0.08,NA,0.18,0.1,0.16,0.09,NA,-0.07,NA,-0.09,0.17,NA,NA,0.09,0.06,NA,0.04,0.02,NA,0.63,0.66,0.55,NA,0.02,0.02,0.02,NA,0.01,0,0.01,NA,0.01,0.01,0,NA,0.01,0.01,0.01,NA,0.02,0.02,0.01,NA,0.02,0.01,0.01,NA,0.96,1,0.84,NA,0.03,0.02,-0.01,NA,0.02,0.01,0,0,-0.01,0.72,0.63,NA,NA,NA
"sharrow_maj",0.08,0.05,0.07,0.02,-0.01,0.06,-0.04,0.05,0.05,0.08,0.09,0.08,NA,0.06,0.07,0.05,NA,0.05,0.07,0.05,NA,0.15,0.15,0.15,NA,0.22,0.21,0.22,NA,0.14,0.06,0.07,0.06,NA,0.12,0.07,0.11,0.06,NA,-0.05,NA,-0.08,0.1,NA,NA,0.05,0.04,NA,0.03,0.02,NA,0.55,0.54,0.62,NA,0.02,0.02,0.02,NA,0,0,-0.01,NA,0.02,0.01,0.01,NA,0.01,0.01,0.01,NA,0.02,0.02,0.01,NA,0,0,-0.01,NA,0.84,0.84,1,NA,0.03,0.02,-0.01,NA,0,0.02,0,0,0,0.63,0.72,NA,NA,NA
"sharrow_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"contraflow_bin",0,-0.01,-0.01,-0.03,-0.04,-0.01,0,-0.01,-0.01,0.02,0.02,0.02,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.02,-0.01,-0.01,-0.01,NA,0,-0.01,-0.01,-0.01,NA,0,NA,0,-0.01,NA,NA,0.02,0,NA,0,0,NA,0.04,0.05,0.05,NA,0.05,0.07,0.05,NA,0.04,0.05,0.04,NA,0,0,0,NA,0.14,0.15,0.14,NA,0,0,0,NA,0,0,0,NA,0.02,0.03,0.03,NA,1,0.95,0.77,NA,0,0,0,0,0,0.04,0.05,NA,NA,NA
"contraflow_sum",0,-0.01,-0.01,-0.02,-0.04,-0.01,0,-0.01,0,0.01,0.01,0.02,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.02,-0.01,-0.01,-0.01,NA,0,-0.01,-0.01,-0.01,NA,0,NA,0,-0.01,NA,NA,0.01,0,NA,0,0,NA,0.04,0.05,0.04,NA,0.04,0.05,0.04,NA,0.03,0.04,0.03,NA,0,0,0,NA,0.11,0.12,0.11,NA,0,0,0,NA,0,0,0,NA,0.01,0.02,0.02,NA,0.95,1,0.82,NA,0,0,0,0,0,0.04,0.04,NA,NA,NA
"contraflow_maj",0,-0.01,-0.01,-0.02,-0.03,-0.01,0,-0.01,0,0,0,0,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.01,-0.01,-0.01,NA,-0.02,-0.01,-0.01,-0.01,NA,0,-0.01,-0.01,-0.01,NA,0,NA,0,-0.01,NA,NA,-0.01,-0.01,NA,0,0,NA,0.03,0.04,0.04,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,-0.01,-0.01,-0.01,NA,0.77,0.82,1,NA,0,0,0,0,0,0.03,0.04,NA,NA,NA
"contraflow_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bike_box_bin",0.11,0.02,0.02,0.01,-0.02,0.01,0,0.02,0.01,0.17,0.18,0.11,NA,0.03,0.04,0.03,NA,0.03,0.04,0.03,NA,0.04,0.04,0.01,NA,0.03,0.03,0,NA,0,0.04,0.04,0.04,NA,0.03,0.06,0.07,0.06,NA,-0.02,NA,-0.03,0.09,NA,NA,0.03,0.02,NA,0.02,0.01,NA,0.07,0.09,0.05,NA,0.13,0.19,0.07,NA,0.05,0.03,0.05,NA,0.09,0.06,0,NA,0,0,0,NA,0.14,0.23,0.08,NA,0.24,0.27,0.17,NA,0.03,0.02,0,NA,0,0,0,NA,1,0.08,0.28,0.12,0.2,0.06,0.04,NA,NA,NA
"bike_sig_bin",0.1,0,0.02,-0.01,-0.02,0,0,0.02,0,0.1,0.11,0.08,NA,0.03,0.04,0.03,NA,0.03,0.04,0.03,NA,0.01,0.02,0,NA,0.02,0.02,0,NA,0,0.03,0.04,0.03,NA,0.03,0.06,0.07,0.05,NA,-0.03,NA,-0.03,0.09,NA,NA,0.01,0,NA,0.03,0.02,NA,0.05,0.06,0.05,NA,0.16,0.22,0.11,NA,0.05,0.04,0.02,NA,0.38,0.41,0.24,NA,0,0,0,NA,0.11,0.16,0.08,NA,0.21,0.28,0.13,NA,0.02,0.01,0.02,NA,0,0,0,NA,0.08,1,0,0.12,0,0.05,0.05,NA,NA,NA
"crossbike_bin",0,0,0,0.01,0,0,0,0,0,0.08,0.07,0.09,NA,0.02,0.02,0.02,NA,0.02,0.03,0.02,NA,0.02,0.02,0.03,NA,0.01,0.01,0.01,NA,0.01,0.01,0.02,0.01,NA,0.02,0.02,0.03,0.02,NA,0,NA,-0.01,0.03,NA,NA,0.02,0.01,NA,0.01,0,NA,0.02,0.03,0.02,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0.28,0,1,0,0,0.01,0.01,NA,NA,NA
"int_shrow_bin",0.2,0.01,0.03,-0.01,-0.02,0.01,-0.01,0.02,0.01,0.19,0.19,0.13,NA,0.02,0.03,0.02,NA,0.02,0.03,0.02,NA,0.05,0.05,0.03,NA,0.04,0.04,0.02,NA,0.02,0.03,0.03,0.02,NA,0.03,0.07,0.07,0.07,NA,-0.03,NA,-0.03,0.06,NA,NA,0.03,0.01,NA,0.04,0.02,NA,0.07,0.08,0.06,NA,0.17,0.18,0.11,NA,0.03,0.02,0.04,NA,0.14,0.1,0.09,NA,0,0,0,NA,0.17,0.2,0.09,NA,0.19,0.23,0.14,NA,0.01,0,0,NA,0,0,0,NA,0.12,0.12,0,1,0,0.07,0.05,NA,NA,NA
"mix_zn_bin",0.06,0.02,0,0.01,0,0,0,0,0.01,0.09,0.11,0.04,NA,0.02,0.02,0.02,NA,0.02,0.02,0.02,NA,0,0,0,NA,0,0,0,NA,-0.01,0.03,0.03,0.03,NA,0.01,0.02,0.04,0.03,NA,-0.01,NA,-0.01,0.04,NA,NA,0.01,0.01,NA,0,0.01,NA,0.03,0.04,0.01,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,NA,-0.01,-0.01,0,NA,0,0,0,NA,0.2,0,0,0,1,0.02,0.01,NA,NA,NA
"fac_max_upd",0.23,0.06,0.07,0,-0.09,0.07,-0.06,0.07,0.05,0.32,0.33,0.28,NA,0.13,0.16,0.12,NA,0.11,0.15,0.11,NA,0.21,0.22,0.19,NA,0.27,0.27,0.25,NA,0.12,0.14,0.17,0.14,NA,0.23,0.22,0.27,0.2,NA,-0.15,NA,-0.18,0.27,NA,NA,0.15,0.12,NA,0.06,0.04,NA,0.97,0.94,0.86,NA,0.13,0.12,0.12,NA,0.16,0.15,0.14,NA,0.04,0.04,0.03,NA,0.05,0.05,0.05,NA,0.12,0.11,0.1,NA,0.11,0.1,0.09,NA,0.75,0.72,0.63,NA,0.04,0.04,0.03,NA,0.06,0.05,0.01,0.07,0.02,1,0.88,NA,NA,NA
"fac_maj_upd",0.17,0.04,0.06,-0.03,-0.09,0.06,-0.05,0.05,0.05,0.26,0.26,0.28,NA,0.09,0.11,0.09,NA,0.08,0.1,0.08,NA,0.18,0.18,0.17,NA,0.24,0.23,0.25,NA,0.1,0.1,0.11,0.1,NA,0.15,0.17,0.19,0.16,NA,-0.13,NA,-0.17,0.17,NA,NA,0.09,0.09,NA,0.05,0.03,NA,0.86,0.85,0.97,NA,0.13,0.12,0.13,NA,0.16,0.15,0.15,NA,0.04,0.04,0.04,NA,0.05,0.05,0.05,NA,0.11,0.11,0.11,NA,0.1,0.09,0.1,NA,0.65,0.63,0.72,NA,0.05,0.04,0.04,NA,0.04,0.05,0.01,0.05,0.01,0.88,1,NA,NA,NA
"fac_min_upd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"all_bike_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"bik_vol_sum_log",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
